Z,Nuclide,mass,spin & parity,abundance,half-life,sig(J32),sig(J33),sig(J40)
22,Ti- 49,48.947865643 +- 0.000000379,7/2-,5.41,stable,XXX,XXX,XXX
22,Ti- 50,49.944786856 +- 0.000000381,0+,5.18,stable,XXX,XXX,XXX
22,Ti- 51,50.946610618 +- 0.000000649,3/2-,,5.76M 1,,,
22,Ti- 52,51.946892974 +- 0.000007600,0+,,1.7M 1,,,
22,Ti- 53,52.949725957 +- 0.000107407,(3/2)-,,32.7S 9,,,
22,Ti- 54,53.951052401 +- 0.000133889,0+,,1.5S 4,,,
22,Ti- 55,54.955265056 +- 0.000163288,(GE 1/2-),,1.3S 1,,,
22,Ti- 56,55.958199639 +- 0.000210361,0+,,200MS 5,,,
22,Ti- 57,56.963989137 +- 0.000488917,,,98MS 5,,,
22,Ti- 58,57.967090 +- 0.000540,0+,,59MS 9,,,
22,Ti- 59,58.973180 +- 0.000540,,,30MS 3,,,
22,Ti- 60,59.976870 +- 0.000640,,,22MS 2,,,
22,Ti- 61,60.983310 +- 0.000750,,,unknown,,,
23,V-nat,50.9415 +- 0.0001,,,,,XXX,XXX
23,V- 42,41.991860 +- 0.000540,,,unknown,,,
23,V- 43,42.980650 +- 0.000250,7/2-,,79.3MS 24,,,
23,V- 44,43.974110000 +- 0.000130000,,,111MS 7,,,
23,V- 44,,(6+),,150MS 3,,,
23,V- 45,44.965775659 +- 0.000018275,7/2-,,547MS 6,,,
23,V- 46,45.960198982 +- 0.000000358,0+,,422.50MS 11,,,
23,V- 46 m,8.01100E+00 keV,3+,,1.02MS 7,,,
23,V- 47,46.954905117 +- 0.000000338,3/2-,,32.6M 3,,,
23,V- 48,47.952252576 +- 0.000001151,4+,,15.9735D 25,,,
23,V- 49,48.948511762 +- 0.000000958,7/2-,,330D 15,,,
23,V- 50,49.947155781 +- 0.000000954,6+,0.250,1.4E+17Y +4 -3,,,XXX
23,V- 51,50.943956803 +- 0.000000950,7/2-,99.750,stable,XXX,,XXX
23,V- 52,51.944772775 +- 0.000000960,3+,,3.743M 5,,,
23,V- 53,52.944336765 +- 0.000003383,7/2-,,1.61M 4,,,
23,V- 54,53.946438640 +- 0.000016114,3+,,49.8S 5,,,
23,V- 55,54.947232487 +- 0.000107356,(7/2-),,6.54S 15,,,
23,V- 56,55.950530966 +- 0.000219281,1+,,216MS 4,,,
23,V- 57,56.952561432 +- 0.000250113,3/2-,,350MS 10,,,
23,V- 58,57.956834136 +- 0.000266164,1+,,185MS 10,,,
23,V- 59,58.960207407 +- 0.000329983,"(5/2-,3/2-)",,97MS 2,,,
23,V- 60,59.965026862 +- 0.000509624,3+,,122MS 18,,,
23,V- 60,,,,40MS 15,,,
23,V- 61,60.968300 +- 0.000320,,,41MS 1,,,
23,V- 62,61.973540 +- 0.000430,,,33.5MS 20,,,
23,V- 63,62.977320 +- 0.000540,,,17MS 3,,,
23,V- 64,63.983220 +- 0.000540,,,unknown,,,
24,Cr-nat,51.9961 +- 0.0006,,,,XXX,,XXX
24,Cr- 42,42.006970 +- 0.000320,0+,,13.4MS +36 -24,,,
24,Cr- 43,42.997920 +- 0.000210,(3/2+),,21.6MS 7,,,
24,Cr- 44,43.985890 +- 0.000210,0+,,53MS +4 -3,,,
24,Cr- 45,44.979170 +- 0.000210,(7/2-),,50MS 6,,,
24,Cr- 46,45.968358861 +- 0.000021464,0+,,0.26S 6,,,
24,Cr- 47,46.962899896 +- 0.000015059,3/2-,,500MS 15,,,
24,Cr- 48,47.954029097 +- 0.000007905,0+,,21.56H 3,,,
24,Cr- 49,48.951333102 +- 0.000002547,5/2-,,42.3M 1,,,
24,Cr- 50,49.946041586 +- 0.000000954,0+,4.345,1.8E+17Y GT,XXX,XXX,XXX
24,Cr- 51,50.944764777 +- 0.000000953,7/2-,,27.7010D 11,,,
24,Cr- 52,51.940506255 +- 0.000000631,0+,83.789,stable,XXX,XXX,XXX
24,Cr- 53,52.940648171 +- 0.000000621,3/2-,9.501,stable,XXX,XXX,XXX
24,Cr- 54,53.938879181 +- 0.000000612,0+,2.365,stable,XXX,XXX,XXX
24,Cr- 55,54.940838458 +- 0.000000643,3/2-,,3.497M 3,,,
24,Cr- 56,55.940653138 +- 0.000002000,0+,,5.94M 10,,,
24,Cr- 57,56.943613013 +- 0.000002000,"3/2-,5/2-,7/2-",,21.1S 10,,,
24,Cr- 58,57.944353129 +- 0.000217840,0+,,7.0S 3,,,
24,Cr- 59,58.948586367 +- 0.000262302,(1/2-),,0.46S 5,,,
24,Cr- 60,59.950076033 +- 0.000229090,0+,,0.49S 1,,,
24,Cr- 61,60.954717204 +- 0.000273332,5/2-,,251MS 22,,,
24,Cr- 62,61.956613190 +- 0.000361776,0+,,209MS 12,,,
24,Cr- 63,62.961750 +- 0.000320,,,113MS 16,,,
24,Cr- 64,63.964290 +- 0.000320,0+,,43MS 1,,,
24,Cr- 65,64.970180 +- 0.000320,,,27MS 3,,,
24,Cr- 66,65.973870 +- 0.000540,0+,,10MS 6,,,
24,Cr- 67,66.980160 +- 0.000640,,,unknown,,,
25,Mn-nat,54.938045 +- 0.000005,,,,,,XXX
25,Mn- 46,45.987160 +- 0.000120,(4+),,36.2MS 4,,,
25,Mn- 47,46.976100 +- 0.000170,(5/2-),,100MS 50,,,
25,Mn- 48,47.968520000 +- 0.000120000,4+,,158.1MS 22,,,
25,Mn- 49,48.959618991 +- 0.000025770,5/2-,,382MS 7,,,
25,Mn- 50,49.954237534 +- 0.000000956,0+,,283.10MS 14,,,
25,Mn- 50 m,2.29000E+02 keV,5+,,1.75M 3,,,
25,Mn- 51,50.948208247 +- 0.000000953,5/2-,,46.2M 1,,,
25,Mn- 52,51.945563981 +- 0.000002040,6+,,5.591D 3,,,
25,Mn- 52 m,3.77794E+02 keV,2+,,21.1M 2,,,
25,Mn- 53,52.941288916 +- 0.000000684,7/2-,,3.7E+6Y 4,,,
25,Mn- 54,53.940357638 +- 0.000001240,3+,,312.05D 4,,,
25,Mn- 55,54.938043937 +- 0.000000477,5/2-,100,stable,XXX,XXX,XXX
25,Mn- 56,55.938903718 +- 0.000000494,3+,,2.5789H 1,,,
25,Mn- 57,56.938286101 +- 0.000001616,5/2-,,85.4S 18,,,
25,Mn- 58,57.940066698 +- 0.000002900,1+,,3.0S 1,,,
25,Mn- 58 m,7.17800E+01 keV,(4)+,,65.2S 5,,,
25,Mn- 59,58.940391168 +- 0.000002500,(5/2)-,,4.59S 5,,,
25,Mn- 60,59.943136634 +- 0.000002500,1+,,0.28S 2,,,
25,Mn- 60 m,2.71900E+02 keV,4+,,1.77S 2,,,
25,Mn- 61,60.944452605 +- 0.000002500,(5/2)-,,0.67S 4,,,
25,Mn- 62,61.948275675 +- 0.000002800,(3+),,0.88S 15,,,
25,Mn- 62,,,,92MS 13,,,
25,Mn- 63,62.949664741 +- 0.000004000,,,275MS 4,,,
25,Mn- 64,63.953849370 +- 0.000003800,(1+),,90MS 4,,,
25,Mn- 64 m,1.75000E+02 keV,(4+),,0.50MS 5,,,
25,Mn- 65,64.956019750 +- 0.000004000,,,92MS 1,,,
25,Mn- 66,65.960546834 +- 0.000012000,,,66MS 4,,,
25,Mn- 67,66.964740 +- 0.000430,,,42MS 4,,,
25,Mn- 68,67.969990 +- 0.000540,,,28MS 4,,,
25,Mn- 69,68.973830 +- 0.000640,,,14MS 4,,,
26,Fe-nat,55.845 +- 0.002,,,,XXX,,XXX
26,Fe- 45,45.014807 +- 0.000211,,,4.0MS +3 -1,,,
26,Fe- 46,46.000810 +- 0.000380,0+,,13.0MS 20,,,
26,Fe- 47,46.992900 +- 0.000280,(7/2-),,21.8MS 7,,,
26,Fe- 48,47.980504 +- 0.000075,0+,,44MS 7,,,
26,Fe- 49,48.973350 +- 0.000160,(7/2-),,70MS 3,,,
26,Fe- 50,49.962975035 +- 0.000064414,0+,,150MS 20,,,
26,Fe- 51,50.956820524 +- 0.000016111,5/2-,,305MS 5,,,
26,Fe- 52,51.948112391 +- 0.000007009,0+,,8.275H 8,,,
26,Fe- 52 m,6.95800E+03 keV,12+,,45.9S 6,,,
26,Fe- 53,52.945306459 +- 0.000001832,7/2-,,8.51M 2,,,
26,Fe- 53 m,3.04040E+03 keV,19/2-,,2.526M 24,,,
26,Fe- 54,53.939609017 +- 0.000000530,0+,5.845,stable,XXX,XXX,XXX
26,Fe- 55,54.938292023 +- 0.000000506,3/2-,,2.744Y 9,,,
26,Fe- 56,55.934936355 +- 0.000000489,0+,91.754,stable,XXX,XXX,XXX
26,Fe- 57,56.935392870 +- 0.000000491,1/2-,2.119,stable,XXX,XXX,XXX
26,Fe- 58,57.933274460 +- 0.000000528,0+,0.282,stable,XXX,XXX,XXX
26,Fe- 59,58.934874367 +- 0.000000540,3/2-,,44.495D 9,,,XXX
26,Fe- 60,59.934070586 +- 0.000003678,0+,,1.5E+6Y 3,,,
26,Fe- 61,60.936746305 +- 0.000002800,"3/2-,5/2-",,5.98M 6,,,
26,Fe- 62,61.936791875 +- 0.000003000,0+,,68S 2,,,
26,Fe- 63,62.940272700 +- 0.000004618,(5/2)-,,6.1S 6,,,
26,Fe- 64,63.940987800 +- 0.000005300,0+,,2.0S 2,,,
26,Fe- 65,64.945011500 +- 0.000007300,,,1.32S 28,,,
26,Fe- 66,65.946249960 +- 0.000004400,0+,,440MS 60,,,
26,Fe- 67,66.950947244 +- 0.000446132,(5/2+),,470MS 50,,,
26,Fe- 68,67.953700000 +- 0.000750000,0+,,132MS 39,,,
26,Fe- 69,68.958780 +- 0.000540,1/2-,,170MS 30,,,
26,Fe- 70,69.961020 +- 0.000640,0+,,94MS 17,,,
26,Fe- 71,70.966720 +- 0.000860,,,unknown,,,
26,Fe- 72,71.969620 +- 0.000860,,,unknown,,,
27,Co-nat,58.933195 +- 0.000005,,,,,,XXX
27,Co- 50,49.981540 +- 0.000180,(6+),,38.81MS 26,,,
27,Co- 51,50.970720 +- 0.000160,,,68.8MS 19,,,
27,Co- 52,51.963590 +- 0.000070,(6+),,115MS 23,,,
27,Co- 53,52.954204108 +- 0.000001893,(7/2-),,240MS 20,,,
27,Co- 53 m,3.19000E+03 keV,(19/2-),,247MS 12,,,
27,Co- 54,53.948459903 +- 0.000000539,0+,,193.28MS 7,,,
27,Co- 54 m,1.99000E+02 keV,(7)+,,1.48M 2,,,
27,Co- 55,54.941997233 +- 0.000000574,7/2-,,17.53H 3,,,
27,Co- 56,55.939838831 +- 0.000000627,4+,,77.233D 27,,,
27,Co- 57,56.936290607 +- 0.000000664,7/2-,,271.74D 6,,,
27,Co- 58,57.935752108 +- 0.000001289,2+,,70.86D 6,,,
27,Co- 58 m,2.48890E+01 keV,5+,,9.04H 11,,,
27,Co- 59,58.933194324 +- 0.000000556,7/2-,100,stable,XXX,XXX,XXX
27,Co- 60,59.933816335 +- 0.000000561,5+,,1925.28D 14,,,
27,Co- 60 m,5.86030E+01 keV,2+,,10.467M 6,,,
27,Co- 61,60.932476667 +- 0.000000952,7/2-,,1.650H 5,,,
27,Co- 62,61.934050860 +- 0.000021478,2+,,1.50M 4,,,
27,Co- 62 m,2.20000E+01 keV,5+,,13.91M 5,,,
27,Co- 63,62.933612515 +- 0.000021478,(7/2)-,,27.4S 5,,,
27,Co- 64,63.935810812 +- 0.000021478,1+,,0.30S 3,,,
27,Co- 65,64.936462100 +- 0.000002300,(7/2)-,,1.20S 6,,,
27,Co- 66,65.939442945 +- 0.000015000,(3+),,0.233S 17,,,
27,Co- 67,66.940609502 +- 0.000006920,(7/2-),,0.425S 20,,,
27,Co- 68,67.944270000 +- 0.000140000,(7-),,0.199S 21,,,
27,Co- 68,,(3+),,1.6S 3,,,
27,Co- 69,68.946320000 +- 0.000360000,(7/2-),,216MS 9,,,
27,Co- 70,69.951000000 +- 0.000900000,(6-),,119MS 6,,,
27,Co- 70,,(3+),,0.50S 18,,,
27,Co- 71,70.952900000 +- 0.000900000,,,79MS 5,,,
27,Co- 72,71.957380 +- 0.000640,0+,,90MS 20,,,
27,Co- 73,72.960060 +- 0.000750,,,41MS 4,,,
27,Co- 74,73.964910 +- 0.000860,,,unknown,,,
27,Co- 75,74.968420 +- 0.000860,,,unknown,,,
28,Ni-nat,58.6934 +- 0.0004,,,,XXX,,XXX
28,Ni- 48,48.019337 +- 0.000573,,,unknown,,,
28,Ni- 49,49.009360 +- 0.000430,,,12MS +5 -3,,,
28,Ni- 50,49.996140 +- 0.000320,0+,,17.2MS 27,,,
28,Ni- 51,50.987630 +- 0.000320,,,23.8MS 2,,,
28,Ni- 52,51.975430 +- 0.000210,0+,,38MS 5,,,
28,Ni- 53,52.968130 +- 0.000320,(7/2-),,45MS 15,,,
28,Ni- 54,53.957892574 +- 0.000053679,0+,,104MS 7,,,
28,Ni- 55,54.951330663 +- 0.000000845,7/2-,,204.7MS 37,,,
28,Ni- 56,55.942128580 +- 0.000000572,0+,,6.075D 10,,,
28,Ni- 57,56.939792217 +- 0.000000712,3/2-,,35.60H 6,,,
28,Ni- 58,57.935342450 +- 0.000000518,0+,68.077,stable,XXX,XXX,XXX
28,Ni- 59,58.934346238 +- 0.000000518,3/2-,,7.6E+4Y 5,,,XXX
28,Ni- 60,59.930785920 +- 0.000000519,0+,26.223,stable,XXX,XXX,XXX
28,Ni- 61,60.931055607 +- 0.000000520,3/2-,1.1399,stable,XXX,XXX,XXX
28,Ni- 62,61.928345412 +- 0.000000555,0+,3.6346,stable,XXX,XXX,XXX
28,Ni- 63,62.929669673 +- 0.000000556,1/2-,,100.1Y 20,,,
28,Ni- 64,63.927966864 +- 0.000000585,0+,0.9255,stable,XXX,XXX,XXX
28,Ni- 65,64.930085220 +- 0.000000603,5/2-,,2.51719H 26,,,
28,Ni- 66,65.929139334 +- 0.000001500,0+,,54.6H 3,,,
28,Ni- 67,66.931569414 +- 0.000003100,(1/2)-,,21S 1,,,
28,Ni- 68,67.931868789 +- 0.000003200,0+,,29S 2,,,
28,Ni- 69,68.935610269 +- 0.000004000,,,11.4S 3,,,
28,Ni- 69 m,3.21000E+02 keV,1/2-,,3.5S 5,,,
28,Ni- 70,69.936431555 +- 0.000002360,0+,,6.0S 3,,,
28,Ni- 71,70.940519220 +- 0.000002458,(3/2+),,2.56S 3,,,
28,Ni- 72,71.941786184 +- 0.000002458,0+,,1.57S 5,,,
28,Ni- 73,72.946206944 +- 0.000002653,(9/2+),,0.84S 3,,,
28,Ni- 74,73.947730 +- 0.000430,0+,,0.68S 18,,,
28,Ni- 75,74.952670 +- 0.000430,7/2+,,344MS +20 -24,,,
28,Ni- 76,75.955330 +- 0.000540,0+,,238MS +15 -18,,,
28,Ni- 77,76.960550 +- 0.000540,0+,,128MS +27 -33,,,
28,Ni- 78,77.963360 +- 0.000860,0+,,110MS +100 -60,,,
29,Cu-nat,63.546 +- 0.003,,,,XXX,,XXX
29,Cu- 55,54.966110 +- 0.000320,,,27MS 8,,,
29,Cu- 56,55.958950 +- 0.000430,4+,,93MS 3,,,
29,Cu- 57,56.949212530 +- 0.000000659,3/2-,,196.3MS 7,,,
29,Cu- 58,57.944533082 +- 0.000000702,1+,,3.204S 7,,,
29,Cu- 59,58.939497518 +- 0.000000671,3/2-,,81.5S 5,,,
29,Cu- 60,59.937364579 +- 0.000001767,2+,,23.7M 4,,,
29,Cu- 61,60.933457742 +- 0.000001035,3/2-,,3.333H 5,,,
29,Cu- 62,61.932595462 +- 0.000000753,1+,,9.673M 8,,,
29,Cu- 63,62.929597770 +- 0.000000556,3/2-,69.15,stable,XXX,XXX,XXX
29,Cu- 64,63.929764390 +- 0.000000563,1+,,12.700H 2,,,
29,Cu- 65,64.927789809 +- 0.000000711,3/2-,30.85,stable,XXX,XXX,XXX
29,Cu- 66,65.928869136 +- 0.000000717,1+,,5.120M 14,,,
29,Cu- 67,66.927730314 +- 0.000001300,3/2-,,61.83H 12,,,
29,Cu- 68,67.929610889 +- 0.000001700,1+,,31.1S 15,,,
29,Cu- 68 m,7.21600E+02 keV,(6-),,3.75M 5,,,
29,Cu- 69,68.929429269 +- 0.000001500,3/2-,,2.85M 15,,,
29,Cu- 70,69.932392079 +- 0.000001161,(6-),,44.5S 2,,,
29,Cu- 70 m,1.01100E+02 keV,(3-),,33S 2,,,
29,Cu- 70 n,2.42600E+02 keV,1+,,6.6S 2,,,
29,Cu- 71,70.932676833 +- 0.000001600,(3/2-),,19.5S 16,,,
29,Cu- 72,71.935820307 +- 0.000001500,(1+),,6.63S 3,,,
29,Cu- 73,72.936674576 +- 0.000002123,(3/2-),,4.2S 3,,,
29,Cu- 74,73.939874862 +- 0.000006600,"(1+,3+)",,1.63S 5,,,
29,Cu- 75,74.941522874 +- 0.000002556,,,1.224S 3,,,
29,Cu- 76,75.945275026 +- 0.000007200,,,0.641S 6,,,
29,Cu- 76,,,,1.27S 30,,,
29,Cu- 77,76.948150000 +- 0.000540000,,,0.469S 8,,,
29,Cu- 78,77.952230000 +- 0.000540000,,,342MS 11,,,
29,Cu- 79,78.955020 +- 0.000430,,,188MS 25,,,
29,Cu- 80,79.960890 +- 0.000640,,,unknown,,,
30,Zn-nat,65.38 +- 0.02,,,,,,XXX
30,Zn- 54,53.993581 +- 0.000478,,,3.2MS +18 -8,,,
30,Zn- 55,54.984540 +- 0.000430,,,19.8MS 13,,,
30,Zn- 56,55.972970 +- 0.000430,0+,,30.0MS 17,,,
30,Zn- 57,56.965060 +- 0.000220,(7/2-),,40MS 10,,,
30,Zn- 58,57.954591097 +- 0.000053679,0+,,84MS 9,,,
30,Zn- 59,58.949312693 +- 0.000000891,3/2-,,182.0MS 18,,,
30,Zn- 60,59.941842139 +- 0.000000694,0+,,2.38M 5,,,
30,Zn- 61,60.939513026 +- 0.000017474,3/2-,,89.1S 2,,,
30,Zn- 61 m,4.18400E+02 keV,3/2-,,140MS 70,,,
30,Zn- 62,61.934334018 +- 0.000000732,0+,,9.26H 2,,,
30,Zn- 63,62.933211583 +- 0.000001686,3/2-,,38.47M 5,,,
30,Zn- 64,63.929142143 +- 0.000000712,0+,49.17,stable,,,XXX
30,Zn- 65,64.929240896 +- 0.000000714,5/2-,,244.06D 10,,,XXX
30,Zn- 66,65.926033853 +- 0.000000940,0+,27.73,stable,,,XXX
30,Zn- 67,66.927127790 +- 0.000000959,5/2-,4.04,stable,,,XXX
30,Zn- 68,67.924844598 +- 0.000000980,0+,18.45,stable,,,XXX
30,Zn- 69,68.926550725 +- 0.000000995,1/2-,,56.4M 9,,,
30,Zn- 69 m,4.38636E+02 keV,9/2+,,13.76H 2,,,
30,Zn- 70,69.925319312 +- 0.000002095,0+,0.61,stable,,,XXX
30,Zn- 71,70.927719435 +- 0.000002950,1/2-,,2.45M 10,,,
30,Zn- 71 m,1.57700E+02 keV,9/2+,,3.96H 5,,,
30,Zn- 72,71.926842807 +- 0.000002300,0+,,46.5H 1,,,
30,Zn- 73,72.929582582 +- 0.000002000,(1/2)-,,23.5S 10,,,
30,Zn- 73 m,1.95500E+02 keV,(5/2+),,13.0MS 2,,,
30,Zn- 73 n,2.00000E+02 keV,(7/2+),,5.8S 8,,,
30,Zn- 74,73.929407262 +- 0.000002700,0+,,95.6S 12,,,
30,Zn- 75,74.932840246 +- 0.000002100,(7/2+),,10.2S 2,,,
30,Zn- 76,75.933114958 +- 0.000001562,0+,,5.7S 3,,,
30,Zn- 77,76.936887200 +- 0.000002117,(7/2+),,2.08S 5,,,
30,Zn- 77 m,7.72390E+02 keV,(1/2-),,1.05S 10,,,
30,Zn- 78,77.938289207 +- 0.000002086,0+,,1.47S 15,,,
30,Zn- 79,78.942638070 +- 0.000002388,(9/2+),,0.995S 19,,,
30,Zn- 80,79.944552931 +- 0.000002774,0+,,0.545S 16,,,
30,Zn- 81,80.950402619 +- 0.000005400,,,0.29S 5,,,
30,Zn- 82,81.954260 +- 0.000430,0+,,unknown,,,
30,Zn- 83,82.960560 +- 0.000540,,,unknown,,,
31,Ga-nat,69.723 +- 0.001,,,,XXX,,XXX
31,Ga- 60,59.957290 +- 0.000210,(2+),,70MS 13,,,
31,Ga- 61,60.949448677 +- 0.000056449,3/2-,,116.18MS 4,,,
31,Ga- 62,61.944190298 +- 0.000000754,0+,,116.121MS 21,,,
31,Ga- 63,62.939294195 +- 0.000001400,(3/2-),,32.4S 5,,,
31,Ga- 64,63.936839641 +- 0.000001569,0+,,2.627M 12,,,
31,Ga- 65,64.932734691 +- 0.000000883,3/2-,,15.2M 2,,,
31,Ga- 66,65.931589444 +- 0.000003355,0+,,9.49H 7,,,
31,Ga- 67,66.928202574 +- 0.000001305,3/2-,,3.2617D 5,,,
31,Ga- 68,67.927980528 +- 0.000001618,1+,,67.71M 9,,,
31,Ga- 69,68.925573600 +- 0.000001292,3/2-,60.108,stable,XXX,XXX,XXX
31,Ga- 70,69.926021987 +- 0.000001296,1+,,21.14M 3,,,
31,Ga- 71,70.924702584 +- 0.000000874,3/2-,39.892,stable,XXX,XXX,XXX
31,Ga- 72,71.926367481 +- 0.000000882,3-,,14.10H 1,,,
31,Ga- 72 m,1.20000E+02 keV,0+,,39.68MS 13,,,
31,Ga- 73,72.925174682 +- 0.000001800,3/2-,,4.86H 3,,,
31,Ga- 74,73.926945762 +- 0.000004000,(3-),,8.12M 12,,,
31,Ga- 74 m,5.97000E+01 keV,(0),,9.5S 10,,,
31,Ga- 75,74.926500246 +- 0.000002600,(3/2)-,,126S 2,,,
31,Ga- 76,75.928827626 +- 0.000002100,"(2+,3+)",,32.6S 6,,,
31,Ga- 77,76.929154300 +- 0.000002600,(3/2-),,13.2S 2,,,
31,Ga- 78,77.931608846 +- 0.000002043,(3+),,5.09S 5,,,
31,Ga- 79,78.932852304 +- 0.000002005,(3/2-),,2.847S 3,,,
31,Ga- 80,79.936420778 +- 0.000003104,(3),,1.697S 11,,,
31,Ga- 81,80.938133846 +- 0.000003504,(5/2-),,1.217S 5,,,
31,Ga- 82,81.943176536 +- 0.000002605,"(1,2,3)",,0.599S 3,,,
31,Ga- 83,82.947120304 +- 0.000002805,,,0.31S 1,,,
31,Ga- 84,83.952460 +- 0.000430,,,85MS 10,,,
31,Ga- 85,84.956810 +- 0.000540,,,unknown,,,
31,Ga- 86,85.963010 +- 0.000750,,,unknown,,,
32,Ge-nat,72.64 +- 0.01,,,,XXX,,XXX
32,Ge- 60,59.970360 +- 0.000210,,,unknown,,,
32,Ge- 61,60.963790 +- 0.000320,(3/2-),,40MS 15,,,
32,Ge- 62,61.954650 +- 0.000150,0+,,129MS 35,,,
32,Ge- 63,62.949628000 +- 0.000040000,,,142MS 8,,,
32,Ge- 64,63.941689913 +- 0.000004000,0+,,63.7S 25,,,
32,Ge- 65,64.939365569 +- 0.000002761,(3/2)-,,30.9S 5,,,
32,Ge- 66,65.933862197 +- 0.000002575,0+,,2.26H 5,,,
32,Ge- 67,66.932733991 +- 0.000005005,1/2-,,18.9M 3,,,
32,Ge- 68,67.928095321 +- 0.000002013,0+,,270.95D 16,,,
32,Ge- 69,68.927964547 +- 0.000001421,5/2-,,39.05H 10,,,
32,Ge- 70,69.924248757 +- 0.000000903,0+,20.57,stable,XXX,XXX,XXX
32,Ge- 71,70.924952334 +- 0.000000898,1/2-,,11.43D 3,,,
32,Ge- 71 m,1.98367E+02 keV,9/2+,,20.40MS 17,,,
32,Ge- 72,71.922076084 +- 0.000000532,0+,27.45,stable,XXX,XXX,XXX
32,Ge- 73,72.923459215 +- 0.000000529,9/2+,7.75,stable,XXX,XXX,XXX
32,Ge- 73 m,6.65900E+01 keV,1/2-,,0.499S 11,,,
32,Ge- 74,73.921178037 +- 0.000000525,0+,36.50,stable,XXX,XXX,XXX
32,Ge- 75,74.922859219 +- 0.000000530,1/2-,,82.78M 4,,,
32,Ge- 75 m,1.39680E+02 keV,7/2+,,47.7S 5,,,
32,Ge- 76,75.921402756 +- 0.000000095,0+,7.73,stable,XXX,XXX,XXX
32,Ge- 77,76.923548760 +- 0.000000410,7/2+,,11.30H 1,,,
32,Ge- 77 m,1.59700E+02 keV,1/2-,,52.9S 6,,,
32,Ge- 78,77.922852938 +- 0.000003796,0+,,88M 1,,,
32,Ge- 79,78.925360072 +- 0.000039916,(1/2)-,,18.98S 3,,,
32,Ge- 79 m,1.85950E+02 keV,(7/2+),,39.0S 10,,,
32,Ge- 80,79.925350707 +- 0.000002200,0+,,29.5S 4,,,
32,Ge- 81,80.928832946 +- 0.000002206,(9/2+),,7.6S,,,
32,Ge- 81 m,7.00000E+02 keV,(1/2+),,7.6S 6,,,
32,Ge- 82,81.929774036 +- 0.000002406,0+,,4.55S 5,,,
32,Ge- 83,82.934539104 +- 0.000002605,(5/2+),,1.85S 6,,,
32,Ge- 84,83.937575094 +- 0.000003404,0+,,0.947S 11,,,
32,Ge- 85,84.942969663 +- 0.000004003,,,535MS 47,,,
32,Ge- 86,85.946580 +- 0.000430,0+,,unknown,,,
32,Ge- 87,86.952510 +- 0.000540,,,unknown,,,
32,Ge- 88,87.956800 +- 0.000750,,,unknown,,,
32,Ge- 89,88.963660 +- 0.000860,,,unknown,,,
33,As-nat,74.92160 +- 0.00002,,,,,,XXX
33,As- 64,63.957754 +- 0.000325,,,18MS +43 -7,,,
33,As- 65,64.949611000 +- 0.000091000,,,128MS 16,,,
33,As- 66,65.944145007 +- 0.000027494,,,95.77MS 23,,,
33,As- 67,66.939252447 +- 0.000001466,(5/2-),,42.5S 12,,,
33,As- 68,67.936774130 +- 0.000001981,3+,,151.6S 8,,,
33,As- 68 m,4.25210E+02 keV,(1+),,1.85M 33,,,
33,As- 69,68.932273926 +- 0.000033481,5/2-,,15.23M 16,,,
33,As- 70,69.930926202 +- 0.000053684,4+,,52.6M 3,,,
33,As- 71,70.927113808 +- 0.000004473,5/2-,,65.28H 15,,,
33,As- 72,71.926752553 +- 0.000004414,2-,,26.0H 1,,,
33,As- 73,72.923829326 +- 0.000004165,3/2-,,80.30D 6,,,
33,As- 74,73.923928916 +- 0.000001869,2-,,17.77D 2,,,
33,As- 75,74.921595017 +- 0.000000988,3/2-,100,stable,XXX,XXX,XXX
33,As- 76,75.922392549 +- 0.000000991,2-,,26.24H 9,,,
33,As- 77,76.920647457 +- 0.000001866,3/2-,,38.83H 5,,,
33,As- 78,77.921827360 +- 0.000010567,2-,,90.7M 2,,,
33,As- 79,78.920948011 +- 0.000005842,3/2-,,9.01M 15,,,
33,As- 80,79.922520623 +- 0.000016831,1+,,15.2S 2,,,
33,As- 81,80.922132256 +- 0.000002868,3/2-,,33.3S 8,,,
33,As- 82,81.924741236 +- 0.000004603,(1+),,19.1S 5,,,
33,As- 82 m,1.46000E+02 keV,(5-),,13.6S 4,,,
33,As- 83,82.925206904 +- 0.000003004,"(5/2-,3/2-)",,13.4S 3,,,
33,As- 84,83.929303294 +- 0.000003404,(3-),,4.5S 2,,,
33,As- 85,84.932163663 +- 0.000003304,(3/2-),,2.028S 12,,,
33,As- 86,85.936701536 +- 0.000003703,,,0.945S 8,,,
33,As- 87,86.940291721 +- 0.000003204,(3/2-),,0.48S 4,,,
33,As- 88,87.945370 +- 0.000430,,,unknown,,,
33,As- 89,88.949610 +- 0.000540,,,unknown,,,
33,As- 90,89.955630 +- 0.000640,,,unknown,,,
33,As- 91,90.960390 +- 0.000640,,,unknown,,,
33,As- 92,91.966740 +- 0.000750,,,unknown,,,
34,Se-nat,78.96 +- 0.03,,,,,,XXX
34,Se- 64,63.971090 +- 0.000540,,,unknown,,,
34,Se- 65,64.964660 +- 0.000640,,,unknown,,,
34,Se- 66,65.955210 +- 0.000320,0+,,33MS 12,,,
34,Se- 67,66.949994000 +- 0.000072000,,,136MS 12,,,
34,Se- 68,67.941825215 +- 0.000000540,0+,,35.5S 7,,,
34,Se- 69,68.939558583 +- 0.000036701,(3/2-),,27.4S 2,,,
