Z,N,Nuclide,Mass,Mass Uncertainty (%),Half Life,M
21,29.0,Sc- 51,50.953593322,0.0,12.4S 1,-44.548
21,30.0,Sc- 52,51.956675468,0.0004,8.2S 2,-43.229
21,31.0,Sc- 53,52.9597,0.0006,3S GT,-40.17
21,32.0,Sc- 54,53.96385,0.001,292MS 42,-38.11
21,33.0,Sc- 55,54.968243949,0.0014,105MS 6,-33.6
21,34.0,Sc- 56,55.97372,0.0013,,-29.98
21,35.0,Sc- 57,56.97843,0.0013,13MS 4,-24.73
21,36.0,Sc- 58,57.98458,0.0015,12MS 5,-20.71
21,37.0,,,,,-14.88
21,38.0,,,,,-10.3
21,39.0,,,,,-4.05
21,40.0,,,,,0.93
22,16.0,,,,,10.67
22,17.0,Ti- 39,39.00231,0.0008,26MS 8,2.2
22,17.0,Ti- 40,39.990498718,0.0004,53.3MS 15,2.2
22,18.0,Ti- 41,40.9838,0.001,80.4MS 9,-8.85
22,19.0,Ti- 42,41.973048996,0.0,0.199S 6,-15.698
22,20.0,Ti- 43,42.968522384,0.0,509MS 5,-25.1047
22,21.0,Ti- 44,43.959689948,0.0,58.9Y 3,-29.321
22,22.0,Ti- 45,44.958122855,0.0,184.8M 5,-37.5486
22,23.0,Ti- 46,45.952627708,0.0,-1.0,-39.0091
22,24.0,Ti- 47,46.951758755,0.0,-1.0,-44.127
22,25.0,Ti-nat,47.867,0.0021,,-44.9364
22,25.0,Ti- 48,47.947941946,0.0,-1.0,-44.9364
22,26.0,Ti- 49,48.947865643,0.0,-1.0,-48.4917
22,27.0,Ti- 50,49.944786856,0.0,-1.0,-48.5628
22,28.0,Ti- 51,50.946610618,0.0,5.76M 1,-51.4307
22,29.0,Ti- 52,51.946892974,0.0,1.7M 1,-49.7319
22,30.0,Ti- 53,52.949725957,0.0002,32.7S 9,-49.469
22,31.0,Ti- 54,53.951052401,0.0002,1.5S 4,-46.83
22,32.0,Ti- 55,54.955265056,0.0003,1.3S 1,-45.6
22,33.0,Ti- 56,55.958199639,0.0004,200MS 5,-41.67
22,34.0,Ti- 57,56.963989137,0.0009,98MS 5,-39.21
22,35.0,Ti- 58,57.96709,0.0009,59MS 9,-33.87
22,36.0,Ti- 59,58.97318,0.0009,30MS 3,-31.11
22,37.0,Ti- 60,59.97687,0.0011,22MS 2,-25.64
22,38.0,Ti- 61,60.98331,0.0012,,-22.33
22,39.0,,,,,-16.35
22,40.0,,,,,-12.57
22,41.0,,,,,-5.82
23,17.0,,,,,11.89
23,18.0,V- 42,41.99186,0.0013,,0.2
23,19.0,V- 43,42.98065,0.0006,79.3MS 24,-7.62
23,20.0,V- 44,43.97411,0.0003,111MS 7,-17.92
